character_name,book_id,book_name,cluster_label,prototype_name,avg_sentence_len,question_ratio,exclamation_ratio,slang_ratio,emotion_level,pca_x,pca_y
试探性的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.8,0.0229,0.0033,0.0,0.0033,-9.822410545770122,-0.0033218555596514843
幽幽的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,20.3,0.0083,0.0033,0.0017,0.0017,-8.322409043475176,-0.0036114412264829383
无伦次的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,28.14,0.0076,0.0006,0.0018,0.0,-0.4824086636021292,-0.005193312953062743
腕带回身,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.26,0.016,0.0018,0.0,0.0,-5.362409617984156,-0.004468237495915068
光游离的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,31.5,0.004,0.0005,0.0005,0.0005,2.877591651264602,-0.004914012361131938
恭敬的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.93,0.0081,0.0032,0.0,0.0008,-2.6924090799360236,-0.0029156579148588418
不满的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,28.59,0.0056,0.0045,0.0011,0.0045,-0.03240914423674468,-0.00119089750534003
傲然的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,24.56,0.0103,0.0087,0.0022,0.0005,-4.062410081344655,0.002469187219293772
女人故意,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.72,0.0023,0.0061,0.0015,0.0008,-5.902408861359209,-0.0006797752234964441
着计算器,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,28.79,0.0042,0.0,0.0008,0.0008,0.1675917415176187,-0.00580340492947235
耳边轻轻,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.67,0.0061,0.0,0.0061,0.0061,-2.9524085214318028,-0.00600078652886922
不甘心的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,26.75,0.0,0.0,0.0177,0.0,-1.8724077692961245,-0.0060466802967368135
黎久,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,29.08,0.0019,0.0006,0.0019,0.0006,0.4575918884669896,-0.00522896641058016
怀中喃喃,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,29.23,0.0095,0.0,0.0042,0.0,0.607591214369311,-0.00553131708716557
裙边系边,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,27.19,0.0052,0.0013,0.0,0.0026,-1.4324085674657177,-0.004676182617538722
结巴巴的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.41,0.0058,0.0078,0.0013,0.0013,-5.212409490725005,0.0012519508942211138
并严肃的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.31,0.0047,0.0163,0.0117,0.007,-3.3124107837673584,0.01027962949134133
软的声音,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.33,0.0099,0.0099,0.0049,0.0,-7.292410151205573,0.0031910000866525647
断续续的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,31.78,0.0,0.0034,0.0,0.0,3.157591640103803,-0.0021306187621770185
狸酸酸的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.78,0.0184,0.0046,0.0,0.0,-5.842410265989958,-0.0016616469135702083
